,pl,total,returns,equity_curve
2018-08-09,0.0,200000.0,,
2018-08-10,163.75,200163.75,0.0008187500000000902,1.00081875
2018-08-13,366.25,200530.0,0.0018297518906396082,1.0026500000000003
2018-08-14,301.2500000000001,200831.25,0.0015022689871839745,1.0041562500000003
2018-08-16,-261.875,200569.375,-0.001303955435222326,1.0028468750000004
2018-08-17,-37.5,200531.875,-0.0001869677262543723,1.0026593750000004
2018-08-20,10.0,200541.875,4.986738392576129e-05,1.0027093750000002
2018-08-21,490.0,201031.875,0.0024433799674008494,1.0051593750000003
2018-08-23,-180.0,200851.875,-0.0008953803967653995,1.0042593750000004
2018-08-24,-258.7499999999999,200593.125,-0.001288262805612339,1.0029656250000003
2018-08-27,53.75,200646.875,0.00026795534493029294,1.0032343750000003
2018-08-28,53.75,200700.625,0.0002678835640974597,1.0035031250000004
2018-08-29,187.50000000000006,200888.125,0.0009342272850421107,1.0044406250000004
2018-08-30,952.5,201840.625,0.0047414450207048375,1.0092031250000004
2018-08-31,277.5,202118.125,0.0013748471101890924,1.0105906250000005
2018-09-03,62.50000000000006,202180.625,0.0003092251127898571,1.0109031250000005
2018-09-04,-635.625,201545.0,-0.0031438472405552753,1.0077250000000004
2018-09-05,418.75,201963.75,0.002077699769282404,1.0098187500000004
2018-09-06,662.5,202626.25,0.003280291636494237,1.0131312500000005
2018-09-07,128.75000000000006,202755.0,0.0006354063207505423,1.0137750000000003
2018-09-10,220.0,202975.0,0.0010850533895587766,1.0148750000000002
2018-09-11,280.0,203255.0,0.001379480231555652,1.0162750000000003
2018-09-12,656.875,203911.875,0.0032317778160437793,1.019559375
2018-09-14,142.5000000000001,204054.375,0.0006988312966078603,1.020271875
2018-09-17,279.99999999999994,204334.375,0.0013721832722282112,1.0216718749999998
2018-09-18,-447.5,203886.875,-0.002190037775092857,1.019434375
2018-09-19,75.0,203961.875,0.00036785104485015374,1.019809375
2018-09-21,-442.5,203519.375,-0.0021695231032760054,1.017596875
2018-09-24,-218.125,203301.25,-0.0010717652803325928,1.01650625
2018-09-25,-532.5,202768.75,-0.00261926574479987,1.01384375
2018-09-26,713.75,203482.5,0.003520019726905632,1.0174124999999998
2018-09-27,-269.37500000000006,203213.125,-0.0013238239160615617,1.0160656249999998
2018-09-28,-681.875,202531.25,-0.003355467320331762,1.0126562499999998
2018-10-01,86.25,202617.5,0.00042586020675816627,1.0130874999999997
2018-10-03,638.75,203256.25,0.003152491764038201,1.0162812499999998
2018-10-04,112.5,203368.75,0.0005534885151132762,1.0168437499999998
2018-10-05,-53.75,203315.0,-0.00026429822674334247,1.0165749999999998
2018-10-08,388.125,203703.125,0.0019089835968817415,1.0185156249999998
2018-10-09,494.99999999999994,204198.125,0.0024300069034286498,1.0209906249999998
2018-10-10,-178.125,204020.0,-0.0008723145719383707,1.0200999999999998
2018-10-11,-1185.0,202835.0,-0.005808254092735998,1.0141749999999998
2018-10-12,-629.375,202205.625,-0.003102891512805961,1.011028125
2018-10-15,393.74999999999994,202599.375,0.0019472752056228781,1.0129968749999998
2018-10-16,636.25,203235.625,0.0031404341696512628,1.0161781249999997
2018-10-17,31.25,203266.875,0.00015376241247078148,1.0163343749999998
2018-10-19,7.500000000000057,203274.375,3.689730557421278e-05,1.0163718749999997
2018-10-22,166.24999999999997,203440.625,0.0008178600967287952,1.0172031249999995
2018-10-23,190.0,203630.625,0.0009339334265219268,1.0181531249999995
